month,sku,average-quantity,end-quantity,fulfillment-center-id,detailed-disposition,country
06/2019,HM0709-1940,0.2,0,DCA1,SELLABLE,US
06/2019,HM0713-742,3,3,ONT6,SELLABLE,US
06/2019,HM0752-3139,3.07,3,MDT2,SELLABLE,US
06/2019,HM0753-936,4,6,MDT2,SELLABLE,US
06/2019,HM0731-Y-38,0.5,0,ABE2,SELLABLE,US
06/2019,HM0701-1840,0.03,0,PHL7,SELLABLE,US
06/2019,HM0731-H-39,0.03,0,MIA7,SELLABLE,US
06/2019,HM0738-H-38,11.33,16,MDT2,SELLABLE,US
06/2019,CAHM0742-2237,3.97,5,MDT2,SELLABLE,US
06/2019,HM0701-R-42,3.87,17,MDT2,SELLABLE,US
06/2019,HM0722-C-38,0.03,1,JFK8,SELLABLE,US
06/2019,HM0701-R-39,0.07,0,MDW4,SELLABLE,US
06/2019,HM0903-1633,4.3,0,MDT2,SELLABLE,US
06/2019,HM0738-L-40,5.93,5,MDT2,SELLABLE,US
06/2019,HM0714-239,4,6,MDT2,SELLABLE,US
06/2019,HM0505-1739/40,30.1,27,IND4,SELLABLE,US
06/2019,HM0751-235,2.8,12,MDT2,SELLABLE,US
06/2019,HM0738-V-39,6.8,8,MDT2,SELLABLE,US
06/2019,HM0753-1942,6.33,17,MDT2,SELLABLE,US
06/2019,HM0738-H-40,8.6,12,MDT2,SELLABLE,US
06/2019,HM0729-L-40,5.33,3,MDT2,SELLABLE,US
06/2019,HM0731-Y-42,0.03,0,PHL7,SELLABLE,US
06/2019,HM0701-B-40,10.4,40,MDT2,SELLABLE,US
06/2019,HM0739-239,7.87,7,BNA3,SELLABLE,US
06/2019,HM0738-V-39,0.03,0,ABE2,SELLABLE,US
06/2019,HM0722-B-40,0.03,0,EWR4,SELLABLE,US
06/2019,HM0701-1235,0.4,0,IND4,SELLABLE,US
06/2019,HM0751-2242,2.33,11,MDT2,SELLABLE,US
06/2019,HM0731-H-39,0.17,0,*XFR,SELLABLE,
06/2019,HM0803-1244,4.47,9,MDT2,SELLABLE,US
06/2019,HM0738-139,0.03,0,ACY1,SELLABLE,US
06/2019,HM0731-H-38,0.6,0,MDT2,SELLABLE,US
06/2019,HM0801-B-45,0.07,0,PHX3,SELLABLE,US
06/2019,HM0738-Z-40,0.03,0,PHX6,SELLABLE,US
06/2019,HM0701-1142,5.97,0,MDT2,SELLABLE,US
06/2019,HM0759-1036,0.03,0,ABE2,SELLABLE,US
06/2019,HM0701-X-37,0.33,0,PHX6,SELLABLE,US
06/2019,HM0801-B-44,0.3,1,ONT6,SELLABLE,US
06/2019,HM0731-H-40,0.03,0,ABE2,SELLABLE,US
06/2019,HM0722-L-40,0.47,0,ACY1,SELLABLE,US
06/2019,HM0713-742,5,5,MDT2,SELLABLE,US
06/2019,HM0744-2039,0.03,1,JFK8,SELLABLE,US
06/2019,HM0701-B-36,5.73,8,MDT2,SELLABLE,US
06/2019,HM0709-1241,0.83,0,IND4,SELLABLE,US
06/2019,HM0731-Z-40,0.13,0,MIA7,SELLABLE,US
06/2019,HM0903-1633,0.03,0,JFK8,SELLABLE,US
06/2019,HM0701-B-39,6.5,0,MDT2,SELLABLE,US
06/2019,HM0729-M-38,4,4,IND4,SELLABLE,US
06/2019,HM0701-B-40,0.03,1,JFK8,SELLABLE,US
06/2019,HM0722-C-35,11.53,15,MDT2,SELLABLE,US
06/2019,HM0744-241,1.27,6,MDT2,SELLABLE,US
06/2019,HM0728-1841,0.03,0,ABE2,SELLABLE,US
06/2019,HM0738-140,0.13,0,ACY1,SELLABLE,US
06/2019,HM0701-H-39,0.03,0,MIA7,SELLABLE,US
06/2019,HM0801-Y-43,6.57,5,MDT2,SELLABLE,US
06/2019,HM0903-1632,1,1,SDF9,SELLABLE,US
06/2019,HM0724-F-36,9.23,6,MDT2,SELLABLE,US
06/2019,HM0729-L-38,0.03,0,SDF8,SELLABLE,US
06/2019,HM0753-941,0.03,0,*XFR,SELLABLE,
06/2019,CAHM0742-2237,2,2,IND4,SELLABLE,US
06/2019,HM0722-H-40,0.03,0,DFW7,SELLABLE,US
06/2019,HM0742-2238,0.23,0,*XFR,SELLABLE,
06/2019,HM0706-M-40,1,1,EWR4,SELLABLE,US
06/2019,HM0505-2039/40,38.67,38,IND4,SELLABLE,US
06/2019,HM0701-H-36,0.07,0,RIC2,SELLABLE,US
06/2019,HM0738-Z-40,0.07,0,LAS2,SELLABLE,US
06/2019,HM0725-2738,5.77,8,MDT2,SELLABLE,US
06/2019,HM0701-2139,0.07,0,LAS2,SELLABLE,US
06/2019,HM0706-L-38,1,1,ONT6,SELLABLE,US
06/2019,HM0701-F-40,0.03,0,*XFR,SELLABLE,
06/2019,HM0742-0240,2.13,6,MDT2,SELLABLE,US
06/2019,HM0731-Y-39,0.07,0,ABE2,SELLABLE,US
06/2019,HM0701-1839,0.03,0,JFK8,SELLABLE,US
06/2019,HM0724-F-37,0.17,1,ACY1,SELLABLE,US
06/2019,HM0701-1239,1.53,0,MDT2,SELLABLE,US
06/2019,HM0719-1037,11.2,15,MDT2,SELLABLE,US
06/2019,HM0701-R-42,0.03,0,SDF9,SELLABLE,US
06/2019,HM0701-R-36,0.03,0,MDW4,SELLABLE,US
06/2019,HM0706-M-37,5,5,MDT2,SELLABLE,US
06/2019,HM0701-X-38,5.5,3,MDT2,SELLABLE,US
06/2019,HM0722-C-38,0.03,0,*XFR,SELLABLE,
06/2019,HM0709-1940,0.83,0,MDT2,SELLABLE,US
06/2019,HM0903-1634,0.37,1,SDF9,SELLABLE,US
06/2019,HM0742-2240,0.1,1,LAS2,CUSTOMER_DAMAGED,US
06/2019,HM0807-143,4.57,4,IND4,SELLABLE,US
06/2019,HM0748-1739,8.9,19,MDT2,SELLABLE,US
06/2019,HM0701-1235,0.2,1,PHX3,SELLABLE,US
06/2019,HM0729-L-42,7.33,6,IND4,SELLABLE,US
06/2019,HM0748-1739,3.27,2,BNA3,SELLABLE,US
06/2019,HM0709-1941,0.07,0,PHL7,SELLABLE,US
06/2019,HM0722-L-35,0.07,0,LEX1,SELLABLE,US
06/2019,HM0752-240,8,12,MDT2,SELLABLE,US
06/2019,HM0505-1733/34,7.2,6,IND4,SELLABLE,US
06/2019,HM0701-2137,0.03,0,*XFR,SELLABLE,
06/2019,HM0726-1139,7,9,MDT2,SELLABLE,US
06/2019,HM0741-0241,0.1,0,DCA1,SELLABLE,US
06/2019,HM0729-L-37,0.43,0,ONT6,SELLABLE,US
06/2019,HM0701-1839,7.5,15,MDT2,SELLABLE,US
06/2019,HM0701-F-40,0.03,0,ABE2,SELLABLE,US
06/2019,HM0903-1632,6,7,MDT2,SELLABLE,US
06/2019,HM0701-B-42,0.2,0,SDF9,SELLABLE,US
06/2019,HM0731-Z-35,0.17,0,MDT2,SELLABLE,US
06/2019,HM0903-1630,0.1,0,*XFR,SELLABLE,
06/2019,HM0722-C-39,5.3,19,MDT2,SELLABLE,US
06/2019,HM0726-1141,4.17,5,MDT2,SELLABLE,US
06/2019,HM0709-237,0.07,0,SDF8,SELLABLE,US
06/2019,HM0747-0141,1.27,5,MDT2,SELLABLE,US
06/2019,HM0725-2537,0.03,0,ABE2,SELLABLE,US
06/2019,HM0737-Z-39,7.13,23,MDT2,SELLABLE,US
06/2019,HM0737-F-40,0.13,0,MIA7,SELLABLE,US
06/2019,HM0737-F-40,2.9,12,MDT2,SELLABLE,US
06/2019,HM0753-939,6.47,17,MDT2,SELLABLE,US
06/2019,HM0709-1239,0.23,0,ACY1,SELLABLE,US
06/2019,HM0740-3239,0.07,0,LAS2,SELLABLE,US
06/2019,HM0725-2539,0.03,0,ABE2,SELLABLE,US
06/2019,HM0741-0239,0.03,0,PHL7,SELLABLE,US
06/2019,HM0752-239,4,6,MDT2,SELLABLE,US
06/2019,HM0709-1936,0.07,0,SDF8,SELLABLE,US
06/2019,HM0801-B-46,1.57,5,MDT2,SELLABLE,US
06/2019,HM0719-1239,1.03,1,DCA1,SELLABLE,US
06/2019,HM0803-3239,1,1,IND1,SELLABLE,US
06/2019,HM0722-L-39,0.13,0,SDF9,SELLABLE,US
06/2019,HM0738-L-39,0.03,0,DCA1,SELLABLE,US
06/2019,HM0731-Y-39,0.07,0,DCA1,SELLABLE,US
06/2019,HM0701-1838,1.97,0,IND4,SELLABLE,US
06/2019,HM0803-1246,0.77,0,MDT2,SELLABLE,US
06/2019,HM0722-C-38,0.1,0,ACY1,SELLABLE,US
06/2019,HM0738-L-37,0.03,0,BNA3,SELLABLE,US
06/2019,HM0724-M-42,0.03,0,ABE2,SELLABLE,US
06/2019,HM0801-B-46,0.03,0,BUF9,SELLABLE,US
06/2019,HM0724-F-38,0.1,0,PHX3,SELLABLE,US
06/2019,HM0701-F-42,5.67,8,MDT2,SELLABLE,US
06/2019,HM0709-1942,0.57,0,PHX3,SELLABLE,US
06/2019,HM0505-1739/40,0.03,0,DTW1,SELLABLE,US
06/2019,HM0731-H-36,7.47,11,MDT2,SELLABLE,US
06/2019,HM0803-1242,1,1,SDF9,SELLABLE,US
06/2019,HM0706-L-37,5,5,MDT2,SELLABLE,US
06/2019,HM0747-0140,0.07,0,RIC9,SELLABLE,US
06/2019,HM0738-H-38,0.03,0,DFW7,SELLABLE,US
06/2019,HM0801-2045,0.27,1,*XFR,SELLABLE,
06/2019,HM0722-C-39,0.13,0,PHX3,SELLABLE,US
06/2019,HM0737-F-38,0.13,0,*XFR,SELLABLE,
06/2019,HM0722-L-39,0.03,0,ACY1,SELLABLE,US
06/2019,HM0731-H-41,0.1,0,DCA1,SELLABLE,US
06/2019,HM0701-1238,2,0,MDT2,SELLABLE,US
06/2019,HM0748-1737,0.63,0,ONT6,SELLABLE,US
06/2019,HM0729-M-40,8.07,11,MDT2,SELLABLE,US
06/2019,HM0729-L-42,0.03,0,SDF8,SELLABLE,US
06/2019,HM0738-V-35,1,1,SDF9,SELLABLE,US
06/2019,HM0738-Z-40,0.6,0,CHA1,SELLABLE,US
06/2019,HM0701-1242,0.03,0,PHL7,SELLABLE,US
06/2019,HM0701-X-36,4.2,18,MDT2,SELLABLE,US
06/2019,HM0803-1645,1.4,6,MDT2,SELLABLE,US
06/2019,HM0803-3246,0.03,1,*XFR,SELLABLE,
06/2019,HM0701-1837,0.03,0,TPA1,SELLABLE,US
06/2019,HM0701-X-37,2.43,0,ONT6,SELLABLE,US
06/2019,HM0803-1246,0.6,0,SDF9,SELLABLE,US
06/2019,HM0738-137,0.03,0,ACY1,SELLABLE,US
06/2019,HM0701-H-39,0.23,0,*XFR,SELLABLE,
