return-date,order-id,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
2019-07-30T14:10:50+00:00,114-6131725-3728219,HM0731-Z-40,1,IND8,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNN282162098,
2019-07-30T13:09:21+00:00,113-2906144-3530636,HM0759-1039,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR773612748,
2019-07-30T03:45:44+00:00,111-4119368-4457005,HM0738-139,1,LEX1,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR749050399,
2019-07-30T02:28:13+00:00,112-7672921-1387419,HM0731-H-35,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR730836392,
2019-07-30T00:42:59+00:00,114-7179656-1155405,HM0701-H-41,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR751746525,
2019-07-30T00:02:56+00:00,112-3472440-8914653,HM0701-R-40,1,IND8,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,IMMEDIATE_DISPOSAL,LPNN267155227,
2019-07-29T22:32:30+00:00,112-0555518-7569850,HM0751-237,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR760488707,
2019-07-29T17:31:10+00:00,114-2332394-0173843,HM0737-Z-36,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR693882514,
2019-07-29T16:04:10+00:00,113-0727762-5741042,HM0722-X-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR780703371,
2019-07-29T15:14:21+00:00,111-5437308-6620236,HM0505-1745/46,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR780405541,"Transparency app unable to verify ,very bulky"
2019-07-29T15:14:21+00:00,111-2239377-6433867,HM0505-1739/40,1,SDF9,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR780405540,Bulky & awkward to walk
2019-07-29T14:49:34+00:00,111-3610298-5518663,HM0731-Z-39,1,MIA7,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR667376248,
2019-07-29T14:29:19+00:00,112-3106813-2967433,HM0738-140,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR746206612,
2019-07-29T14:03:11+00:00,111-3909076-3373019,HM0903-1630,1,LEX1,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR753886051,
2019-07-29T10:33:23+00:00,114-6345364-4082624,HM0731-Z-40,1,SDF9,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,LPNRR779943466,
2019-07-29T06:26:25+00:00,114-8268346-1215438,HM0801-2045,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR527666777,
2019-07-29T05:43:43+00:00,111-3100659-7619408,HM0731-Z-40,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR773527572,
2019-07-29T05:43:43+00:00,111-3100659-7619408,HM0731-Z-41,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR773527571,
2019-07-29T01:34:04+00:00,111-8679403-3797845,HM0701-X-41,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR773016818,
2019-07-28T23:29:58+00:00,114-2498611-2793011,HM0719-1238,1,SDF9,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNRR779882852,
2019-07-28T19:31:57+00:00,112-0852126-8514631,HM0701-2137,1,IND8,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNN276058879,
2019-07-28T13:35:00+00:00,111-9914348-1402600,HM0701-B-41,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR773109370,too heavy
2019-07-28T11:53:14+00:00,113-4161054-9943400,HM0722-L-39,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR761580294,
2019-07-28T06:34:45+00:00,111-9495885-7516200,HM0742-2239,1,LAS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,LPNRR761383960,
2019-07-28T04:27:06+00:00,113-7889911-0281013,HM0701-H-38,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR780658931,
2019-07-28T04:27:06+00:00,113-7889911-0281013,HM0701-H-39,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR780658930,
2019-07-28T03:01:09+00:00,111-1661171-8984256,HM0803-3244,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR750977595,
2019-07-28T01:34:23+00:00,113-2431376-0637804,HM0701-R-36,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR744806753,
2019-07-28T01:22:19+00:00,113-1480372-8081001,HM0701-F-39,1,BUF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR652560398,
2019-07-28T00:38:22+00:00,114-8606270-0122630,HM0741-0241,1,LEX2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRR750675782,
2019-07-28T00:16:11+00:00,113-9512972-5618663,HM0731-Y-41,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR737342639,
2019-07-27T23:22:11+00:00,113-2016664-5321819,HM0731-H-41,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR773023893,
2019-07-27T22:57:11+00:00,112-8162151-8825042,HM0701-B-37,1,SDF9,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNRR780735213,I ordered size 8 and was sent size 5.
2019-07-27T22:56:35+00:00,111-8926886-8625054,HM0722-H-40,1,LEX1,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR754452288,
2019-07-27T18:26:55+00:00,111-8635068-3399432,HM0737-Z-38,1,MOB9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR669457777,strap tight
2019-07-27T18:26:55+00:00,111-8879558-6061818,HM0737-F-38,1,MOB9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR669457776,strap hurts
2019-07-27T11:49:06+00:00,111-8350047-7485828,HM0722-B-40,1,LEX1,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR753244834,
2019-07-27T07:00:04+00:00,112-8503423-1717846,HM0505-1737/38,1,HIO9,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,IMMEDIATE_DISPOSAL,LPNRR591473408,
2019-07-27T04:16:36+00:00,111-2971009-0265832,HM0752-3139,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR738251276,
2019-07-27T03:15:03+00:00,112-4873960-0001805,HM0701-1240,1,LAS2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,LPNRR759977289,Color different from website
2019-07-27T01:21:42+00:00,111-7037427-2155410,HM0722-L-39,1,RIC9,CUSTOMER_DAMAGED,UNWANTED_ITEM,IMMEDIATE_DISPOSAL,LPNRR733438744,
2019-07-27T01:08:13+00:00,112-9344507-7357022,HM0737-Z-39,1,SDF9,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRR773020421,Not comfortable enough
2019-07-26T20:46:11+00:00,113-7657313-6781056,HM0739-240,1,MIA7,SELLABLE,MISORDERED,Unit returned to inventory,LPNRR667443545,"Description said shoes were white, and they are tan. Colors in photo do not match actual product."
2019-07-26T14:54:23+00:00,113-0214535-2667406,HM0731-Y-38,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR772738223,
2019-07-26T05:52:54+00:00,112-8433461-6019441,HM0701-H-38,1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRR761034093,
2019-07-26T05:52:54+00:00,112-8433461-6019441,HM0701-H-38,1,LAS2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRR761034094,
2019-07-25T23:31:13+00:00,113-8568066-2674633,HM0701-X-41,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR759863172,
2019-07-25T20:37:48+00:00,114-3360077-9521015,HM0701-X-35,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR751272934,
2019-07-25T15:37:06+00:00,111-6210233-6687415,HM0722-B-40,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR780480666,
2019-07-25T12:34:17+00:00,114-5102553-2596251,HM0701-X-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR780652048,
2019-07-25T10:58:42+00:00,111-1488159-9201806,HM0722-L-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR655219990,does not fit as it should
2019-07-25T10:58:42+00:00,111-1488159-9201806,HM0725-140,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR655219989,does not fit as it should
2019-07-25T08:49:37+00:00,114-9131767-7685853,HM0701-H-38,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR752912842,too narrow
2019-07-24T23:40:40+00:00,114-0230672-9265830,HM0701-B-38,1,SDF9,CUSTOMER_DAMAGED,DEFECTIVE,IMMEDIATE_DISPOSAL,LPNRR655508382,
2019-07-24T21:43:58+00:00,114-5902796-0526633,HM0751-240,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR664921624,
2019-07-24T18:33:35+00:00,111-9035709-2504204,HM0701-1138,1,LEX2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR751339206,
2019-07-24T18:32:10+00:00,112-6420945-2348269,HM0753-1935,1,LEX2,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNRR751028605,
2019-07-24T16:58:47+00:00,114-8218151-9983437,HM0741-0235,1,LAS2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNRR759277672,
2019-07-24T15:07:42+00:00,112-7542255-1219417,HM0739-239,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR654786920,
2019-07-24T15:07:42+00:00,112-7542255-1219417,HM0733-1739,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR654786921,
2019-07-24T14:47:52+00:00,113-2308546-9435424,HM0725-139,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,LPNRR751516054,I would like to exchange this size 8 for an 81/2.
2019-07-24T13:37:38+00:00,113-3056030-0877031,HM0759-3238,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR772752179,
2019-07-24T13:31:20+00:00,113-0808797-7733847,HM0731-Z-42,1,SDF9,CUSTOMER_DAMAGED,MISORDERED,IMMEDIATE_DISPOSAL,LPNRR780227502,
2019-07-24T12:40:38+00:00,112-7013209-4773853,HM0731-H-41,1,LEX1,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR753574063,
2019-07-24T11:00:43+00:00,113-0674706-0944261,HM0701-X-41,1,LAS2,CUSTOMER_DAMAGED,NOT_AS_DESCRIBED,IMMEDIATE_DISPOSAL,LPNRR730746181,
2019-07-24T08:13:24+00:00,112-9969119-9778650,HM0701-B-41,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,LPNRR737679068,
2019-07-24T05:45:52+00:00,112-5517325-9920258,HM0722-B-40,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,LPNRR759337297,
2019-07-24T04:56:46+00:00,112-3976100-4073852,HM0751-241,1,LEX2,SELLABLE,QUALITY_UNACCEPTABLE,Unit returned to inventory,LPNRR751331074,Fit / style issue
