snapshot-date,transaction-type,sku,fulfillment-center-id,quantity,disposition
2019-08-31T07:00:00+00:00,WhseTransfers,HM0731-Z-40,CMH1,1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0751-2238,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0731-Y-37,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-H-38,ABE2,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0701-B-39,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,CustomerReturns,HM0803-3246,LEX2,1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-H-39,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-L-38,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-H-38,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0701-B-41,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0701-1240,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0753-940,SDF8,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0725-138,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0751-2238,JFK8,1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0731-Z-40,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0738-140,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0701-B-42,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-H-39,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0701-H-41,IND1,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0505-1739/40,IND1,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-B-39,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0741-1638,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0701-2142,JFK8,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0738-139,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0722-C-36,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0701-X-40,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0701-H-36,ABE3,-1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0738-139,SDF8,1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0725-138,SDF8,1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0701-B-39,SDF8,1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0701-B-40,ONT6,1,SELLABLE
2019-08-31T07:00:00+00:00,WhseTransfers,HM0740-3239,SDF9,-1,SELLABLE
2019-08-31T07:00:00+00:00,CustomerReturns,HM0722-B-39,LEX2,1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0724-M-41,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0759-3237,MDT2,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0731-H-39,IND4,-1,SELLABLE
2019-08-31T07:00:00+00:00,Shipments,HM0738-140,ACY1,-1,SELLABLE
