Order ID,Order date,Return request date,Return request status,Amazon RMA ID,Merchant RMA ID,Label type,Label cost,Currency code,Return carrier,Tracking ID,Label to be paid by,A to z claim,Is prime,Merchant SKU,Return quantity,Return reason,In policy,Return type,Resolution,Invoice number,Return delivery date,Order amount,Order quantity,SafeT action reason,SafeT claim id,SafeT claim state,SafeT claim creation time,SafeT claim reimbursement amount,Refunded amount,Category
111-7500535-2930628,12-Aug-19,31-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0738-C-39,1,AMZ-PG-MISORDERED,Y,C-Returns,StandardRefund, , ,14.99,1, , , , , ,14.99, 
113-5347408-4031462,26-Jul-19,29-Aug-19,PendingApproval, , , , , , , ,Customer,N,N,HM0701-H-40,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,14.99,1, , , , , , , 
112-1403365-5817009,29-Jul-19,29-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0701-B-39,1,AMZ-PG-APP-STYLE,Y,C-Returns,StandardRefund, , ,14.99,1, , , , , ,7.5, 
113-3353297-8561020,21-Aug-19,24-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0742-0238,1,CR-UNWANTED_ITEM,Y,C-Returns,StandardRefund, , ,15.99,1, , , , , ,15.99, 
114-8572058-2805055,5-Aug-19,24-Aug-19,PendingApproval, , , , , , , ,Seller,N,N,HM0719-1035,1,CR-MISSED_ESTIMATED_DELIVERY,Y,C-Returns,StandardRefund, , ,14.99,1, , , , , , , 
112-8962105-6557861,19-Aug-19,22-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0722-M-38,1,CR-ORDERED_WRONG_ITEM,Y,C-Returns,StandardRefund, , ,14.71,1, , , , , ,15.99, 
112-4880740-5265813,31-Jul-19,20-Aug-19,PendingApproval, , , , , , , ,Customer,N,N,HM0722-M-38,1,AMZ-PG-APP-TOO-LARGE,Y,C-Returns,StandardRefund, , ,15.99,1, , , , , , , 
111-9220887-1474632,24-Jul-19,17-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0722-L-37,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,16.99,1, , , , , ,16.99, 
111-0723545-2805845,28-Jul-19,15-Aug-19,PendingApproval, , , , , , , ,Customer,N,N,HM0701-H-40,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,14.99,1, , , , , , , 
112-1470722-6717855,1-Aug-19,14-Aug-19,PendingApproval, , , , , , , ,Seller,N,N,HM0731-H-41,1,CR-MISSED_ESTIMATED_DELIVERY,Y,C-Returns,StandardRefund, , ,16.99,1, , , , , , , 
113-2852452-9941009,17-Jul-19,11-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0738-L-38,1,AMZ-PG-APP-STYLE,Y,C-Returns,StandardRefund, , ,14.99,1, , , , , ,14.99, 
111-8103731-2085035,20-Jul-19,9-Aug-19,PendingApproval, , , , , , , ,Customer,N,N,HM0731-Z-40,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,19.86,1, , , , , , , 
112-1194510-4577022,13-Jul-19,7-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0731-Y-40,1,AMZ-PG-APP-STYLE,Y,C-Returns,StandardRefund, , ,16.99,1, , , , , ,8.5, 
112-2773575-5077065,19-Jul-19,6-Aug-19,Closed, , , , , , , ,Customer,Y,N,HM0701-H-35,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,13.99,1, , , , , ,13.99, 
114-4084944-2402629,19-Jul-19,4-Aug-19,Closed, , , , , , , ,Customer,N,N,HM0722-H-35,1,CR-UNWANTED_ITEM,Y,C-Returns,StandardRefund, , ,17.78,1, , , , , ,9.31, 
113-2036450-1994623,13-Jul-19,1-Aug-19,PendingApproval, , , , , , , ,Customer,N,N,HM0701-H-35,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,26.66,2, , , , , , , 
113-2036450-1994623,13-Jul-19,1-Aug-19,PendingApproval, , , , , , , ,Customer,N,N,HM0701-B-35,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund, , ,26.66,2, , , , , , , 
113-2639183-8199469,23-Jun-19,1-Aug-19,PendingApproval, , , , , , , ,Seller,N,N,HM0722-H-39,1,CR-MISSED_ESTIMATED_DELIVERY,Y,C-Returns,StandardRefund, , ,15.99,1, , , , , , , 
