sku,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,product-size-tier,currency,estimated-fee-total,estimated-referral-fee-per-unit,estimated-variable-closing-fee,estimated-order-handling-fee-per-order,estimated-pick-pack-fee-per-unit,estimated-weight-handling-fee-per-unit,expected-fulfillment-fee-per-unit
HM0724-M-40,Amazon,14.99,14.99,10.98,4.41,2.8,25.39,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0741-1642,Amazon,15.99,15.99,10.87,4.8,2.2,24.87,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1139,Amazon,13.99,13.99,10.91,4.8,2.8,26.1,inches,1.1,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0739-138,Amazon,15.99,15.99,10.85,4.3,3.05,25.55,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0744-2036,Amazon,14.99,14.99,10.9,4.4,2.8,25.3,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0738-H-40,Amazon,14.99,14.99,10.79,4.29,2.91,25.2,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0724-M-39,Amazon,15.99,15.99,10.98,4.29,2.8,25.16,inches,0.9,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0753-1935,Amazon,15.99,15.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0739-242,Amazon,15.99,15.99,11.55,4.55,2.95,26.54,inches,1.07,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-H-40,Amazon,16.99,16.99,10.91,4.29,2.8,25.08,inches,1,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0724-M-36,Amazon,15.99,15.99,10.9,4.4,2.8,25.3,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0738-Z-37,Amazon,15.99,15.99,10.79,4.29,2.91,25.2,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0759-1036,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
