return-date,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,customer-comments
2019-06-16T03:36:20+00:00,HM0722-H-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-16T02:26:35+00:00,HM0731-Z-40,1,MIA7,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-06-15T21:55:00+00:00,HM0731-Y-37,1,RIC9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-15T05:28:25+00:00,HM0731-Z-42,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-06-15T04:32:52+00:00,HM0742-2238,1,BUF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-15T03:38:09+00:00,HM0731-H-38,1,SDF9,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,IMMEDIATE_DISPOSAL,
2019-06-15T01:27:52+00:00,HM0722-L-38,1,OKC9,SELLABLE,MISORDERED,Unit returned to inventory,
2019-06-14T21:16:38+00:00,HM0737-F-40,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-14T18:59:27+00:00,HM0724-F-37,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-06-14T18:59:27+00:00,HM0738-Z-36,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-06-14T18:19:27+00:00,HM0701-F-38,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-06-14T06:22:09+00:00,HM0722-B-37,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-06-13T22:53:38+00:00,HM0701-F-41,1,LEX2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,
2019-06-13T17:19:20+00:00,HM0737-Z-37,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,Client didn't like the look with their costume.
2019-06-13T16:21:38+00:00,HM0742-0242,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-13T15:24:08+00:00,HM0739-237,1,SDF9,CUSTOMER_DAMAGED,DEFECTIVE,IMMEDIATE_DISPOSAL,
2019-06-13T11:28:15+00:00,HM0801-B-45,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,
2019-06-13T05:21:10+00:00,HM0739-238,1,HIO9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-06-13T03:15:39+00:00,HM0701-B-42,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-13T01:56:57+00:00,HM0722-H-37,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-06-13T01:51:10+00:00,HM0731-Y-38,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-06-12T20:54:21+00:00,HM0903-1630,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-12T20:47:27+00:00,HM0722-B-39,1,BUF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-12T20:33:43+00:00,HM0731-Z-41,1,LAS2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,
2019-06-12T12:46:06+00:00,HM0903-1634,1,LEX2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-12T01:48:30+00:00,HM0747-0140,1,RIC9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-06-12T00:46:27+00:00,HM0722-C-39,1,MIA7,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,
