,customer-comments
13,Client didn't like the look with their costume.
30,not even
33,not cushioned
34,Rubber on Flip Flop is hard and stiff. There is no give on the sole when walking.
55,Size does not fit
56,Would like to replace item with a bigger size
60,Too small
62,size 8 runs too small
77,"uncomfortable, heavy shoe"
78,"I need a size 9, please and thank you"
86,The left foot strap is more loose than the right
89,very uncomfortable flip flop
90,very heavy material
105,The strap on the right shoe is stretched out and does not stay on my foot
107,B01DNHWPQI:Product does not meet expectations B06X9SW6R3:Product does not meet expectations B01N78U3SK:Product does not meet expectations B07B44S6NQ:Product does not meet expectations
120,used the white size 10 that i bought instead
122,kept the size 6 i bought instead
127,I meant to buy a size 7
135,The strap was broken
138,Straps feel stretched.
152,Strap too thin.
160,Sole is heavy and hard.
162,Fab sandals but the strap is too loose.
170,item damage
183,not comfortable / does not properly fit
188,Smaller than the listed size
192,"Love them, just need a bigger size!"
196,"Very heavy, bought for travel"
201,Very heavy and hard on the feet.
204,"I bought it to combined with a yellow swimwear,but since I am returning the swimwear I not longer need it."
224,The thongs do not work for me.
228,B06X1GXZZ4:not as expected
239,Run almost a whole size small. I'm super bummed because they're really cute. I would recommend ordering one size bigger than you wear.
240,too loose and wide
244,I decided to make do with the flip flops I have now...
250,These are too stiff to walk any distance ...
252,Too tight on feet
268,"I thought these were Havianas Sold by Hotmarzz, I did not realize they were knock offs."
283,"The size 12 is not a normal USA mens size 12, it is very tiny.  I have an 11.5 shoe size and this is too small."
290,"very heavy, not lightweight"
295,did not fit right
308,Not Havana's
310,Really cute but strap is way too loose and  feels like  it could cause a fall.  Thank you.
311,Not enough wedge. Too low.
312,Not enough wedge. Too Low
313,This is not a size 5. Too small.
314,These are not red
322,Do you have this in a 7?
323,"Too  large, I would like to return for a refund please, Thank you much"
324,Very strong product small...
326,These are like a 9
327,The description doesn't say how hard they are and says they are comfortable. Not even close.
331,Refund
348,"wrong size, please exchange for size 8"
351,Narrow
368,Very narrow
371,Beautiful flip flop just runs short. I didn抰 realize I needed to go up a size. They run a size smaller than what the chart describes.
372,They have a strong fragrance odour that was not in the description and I am allergic to artificial fragrances.
373,very small for size
374,Shipment undeliverable
375,so small
380,Was able to get this at lower price
385,Inaccurate sizes! Too small
387,Need size 10
394,middle pulls out
396,size on website doesn't match actual size of flip flops
400,Cute but small
404,one of the sandal broke
410,very heavy for a flipflop
419,B06X9SPJR6:Broken / Defective
428,defective and tilts wrong
433,Item runs small. Would like to exchange for size 2.
444,size
445,Footbed is heavy.
457,i just need 1 size up
462,Appears different in patterns and the size is also large
466,"the flip flop doesn't fit me, it keeps sliding off my feet which could cause danger in the future"
474,way to small
484,Shape is not as expected
488,don't like color
489,B06X9RPN3S:she no longer need B074M6CYM6:she no longer need B06X9R5PFW:she no longer need
490,B074M6CLVC:she no longer need
504,Too big.
505,Don抰 have original box
514,These flip flops are very heavy on my feet.
515,Fit good in the length but so wide they flop around at the ankle and my foot slides out.
527,Very uncomfortable!
536,The color is NOT pink!
552,"need a bigger size, these run too small"
561,Running small. I would like to exchange for a bigger size.
564,Size is way too small
573,Do not fit & thought I was buying Havaianas
577,Do not fit.
580,They are hard as a rock
582,Ordered the same ones in size 4
588,"A bit too thick and heavy, not as colorful as expected"
592,too small.
594,"These are not RED, they are coral/pink.  I don't want them, I want RED."
596,"This product may not be in compliance w/California抯 Prop 65 Warning. I purchased these for a child; However, there was a very strong chemical odor present... similar to the smell of Acetone."
597,too small
600,Lets try size 8
601,Too small seem too narrow
608,Llegaron mas grandes de lo que se esperaban.
613,better price at a store
615,B06X9M3T4Q:Does not work / defective
628,"bought as a gift, but not what they wanted"
647,uncomfortable between toes
648,"Christmas gift for my mother and it was the wrong size, need a size bigger"
654,the sole is thicker than a standard flop
658,"have very narrow feet, these are too wide & too hard souls to be ok for me."
680,Tooooooooo smellty
681,Thanks!!
692,Based on reviews bought a size up. Still too small.
706,These flip flops have a horrible toxic smell. Can not wear them.
711,"did not fit, size too narrow"
721,The items does not fit.
744,"I thought these were another brand, I need to return these."
748,not soft foam like i was expecting
753,B01N96AO0B:not compatible  B0727V89SB:not compatible
758,Too big
764,just ordered an Havaianas Women's shoes.
766,Size description is not accurate on website
782,"I am normally a size 8, but these were a little narrow for my liking. I ordered one size up and they do fit a little better."
794,"I love these, but they are too small...I want to order the next larger size"
797,The base of this flip flop is too thin for my comfort.
800,color difier from picture
